length,epsilon,gamma,alpha,target,optimal_credit_lp,claimed_gamma,worst_case_queries,two_to_length,theorem55_reduction_factor
4,0.0,0.2,0.05,0010,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0011,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0100,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0101,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0110,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,0111,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1000,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1001,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1010,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1011,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1100,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1101,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1110,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.2,0.05,1111,0.19999999999999962,0.2,16,16,0.010332710672293152
4,0.0,0.4,0.1,0000,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0001,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0010,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0011,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0100,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0101,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0110,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,0111,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1000,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1001,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1010,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1011,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1100,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1101,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1110,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.4,0.1,1111,0.3999999999999998,0.4,16,16,0.04133084268917261
4,0.0,0.7,0.175,0000,0.6999999999999997,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0001,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0010,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0011,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0100,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0101,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0110,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,0111,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1000,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1001,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1010,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1011,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1100,0.6999999999999998,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1101,0.7,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1110,0.7,0.7,16,16,0.12657570573559107
4,0.0,0.7,0.175,1111,0.7,0.7,16,16,0.12657570573559107
4,0.3,0.2,0.05,0000,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0001,0.19999999999999973,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0010,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0011,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0100,0.19999999999999973,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0101,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0110,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,0111,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1000,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1001,0.19999999999999973,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1010,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1011,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1100,0.19999999999999973,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1101,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1110,0.19999999999999984,0.2,16,16,0.010332710672293152
4,0.3,0.2,0.05,1111,0.19999999999999973,0.2,16,16,0.010332710672293152
4,0.3,0.4,0.1,0000,0.3999999999999999,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0001,0.4,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0010,0.4,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0011,0.3999999999999999,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0100,0.3999999999999999,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0101,0.4,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0110,0.3999999999999999,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,0111,0.4,0.4,16,16,0.04133084268917261
4,0.3,0.4,0.1,1000,0.4,0.4,16,16,0.04133084268917261
